time,sensorValuesmall
30,213
37,218
44,217
51,217
57,215
63,216
70,219
76,219
83,219
90,215
96,217
103,220
109,220
116,217
122,214
â¸®5,203
11,203
17,211
24,223
30,218
37,212
44,210
51,219
57,224
63,217
70,211
76,214
83,223
90,223
96,216
103,211
109,217
116,224
122,221
130,214
136,216
143,219
149,222
156,218
162,218
168,218
176,218
182,221
189,222
198,223
207,225
217,219
226,221
235,212
244,216
254,218
264,219
273,227
282,221
291,223
301,217
310,215
320,219
329,215
338,223
348,222
357,224
366,224
375,216
386,219
395,212
404,218
413,221
422,221
432,228
441,219
451,219
460,215
470,215
479,219
488,217
497,224
506,222
517,222
526,220
535,213
544,218
553,212
563,219
572,222
582,222
591,226
601,215
610,216
619,214
628,215
637,220
647,218
657,225
666,220
675,218
685,216
694,212
703,218
712,213
722,220
732,223
741,221
750,222
759,212
769,215
778,214
788,216
797,222
806,220
816,224
825,217
834,215
843,215
854,212
863,220
872,215
881,222
890,223
900,218
909,220
919,211
928,216
937,216
947,218
956,224
965,220
974,223
985,214
994,214
1003,216
1013,222
1024,226
1034,218
1044,215
1055,218
1065,222
1076,215
1086,212
1096,219
1106,225
1118,221
1128,219
1138,221
1148,225
1159,218
1169,213
1179,217
1190,221
1201,218
1211,217
1221,222
1231,229
1242,222
1253,216
1263,219
1273,223
1284,217
1294,212
1304,218
1315,226
1326,223
1336,220
1346,222
1356,225
1367,220
1377,214
1388,217
1398,221
1409,219
1419,216
1429,221
1439,228
1451,223
1461,217
1471,218
1481,223
1491,219
1502,213
1512,216
1523,224
1533,223
1544,219
1554,221
1564,225
1574,221
1586,214
1596,215
1606,220
1616,218
1627,214
1637,218
1648,225
1658,224
1669,216
1679,217
1689,221
1699,219
1710,212
1721,212
1731,220
1741,222
1752,217
1762,219
1772,223
1783,222
1794,214
1804,214
1814,219
1824,218
1835,213
1846,216
1856,223
1866,226
1876,217
1887,216
1897,220
1907,220
1918,213
1929,212
1939,218
1949,222
1959,217
1970,219
1981,223
1991,224
2001,215
2012,214
2022,218
2032,220
2042,213
2054,215
2064,222
2074,226
2084,219
2095,217
2105,221
2116,223
2126,214
2137,213
2147,218
2157,223
2167,218
2178,219
2189,225
2199,226
2209,218
2220,216
2230,219
2240,222
2251,215
2262,215
2272,222
2282,227
2292,223
2302,219
2314,222
2324,224
2334,217
2344,214
2355,216
2365,224
2375,219
2386,218
2397,225
2407,227
2417,220
2427,216
2438,219
2449,223
2459,215
2469,214
2480,220
2490,227
2500,223
2510,219
2522,221
2532,224
2542,218
2552,213
2563,216
2573,222
2584,219
2594,217
2605,222
2615,227
2625,221
2635,215
2647,217
2657,221
2667,217
2677,212
2688,217
2698,224
2708,223
2719,218
2729,219
2740,223
2750,219
2760,213
2770,214
2782,218
2792,218
2802,215
2812,219
2823,226
2833,222
2843,215
2854,216
2865,220
2875,217
2885,210
2895,215
2906,222
2917,223
2927,219
2937,218
2948,222
2958,220
2968,213
2979,214
2990,218
3000,219
3010,214
3020,218
3031,226
3041,224
3052,216
3062,216
3073,220
3083,219
3093,212
3103,214
3115,222
3125,224
3135,218
3145,219
3155,223
3166,223
3176,215
3187,215
3197,219
3208,220
3218,215
3228,218
3238,225
3250,227
3260,218
3270,217
3280,221
3291,222
3301,214
3312,214
3322,222
3333,225
3343,220
3353,222
3363,224
3374,225
3385,217
3395,215
3405,219
3416,220
3426,216
3436,217
3447,224
3458,229
3468,220
3478,218
3488,221
3499,224
3509,215
3520,213
3530,219
3540,225
3551,220
3561,220
3571,223
3582,226
3593,218
3603,215
3613,218
3623,221
3634,216
3645,216
3655,222
3665,227
3676,221
3686,216
3696,219
3706,223
3718,215
3728,212
3738,216
3748,223
3759,219
3769,218
3780,222
3790,225
3801,218
3811,213
3821,216
3831,220
3842,214
3853,213
3863,219
3873,225
3884,222
3894,216
3904,218
3915,222
3926,217
3936,211
3946,213
3956,221
3966,219
3978,216
3988,221
3998,224
4008,220
4019,213
4029,215
4039,220
4050,216
4061,212
4071,217
4081,224
4091,224
4102,217
4113,218
4123,222
4133,219
4144,212
4154,214
4164,220
4175,221
4186,217
4196,221
4206,226
4216,223
4227,215
4237,216
4248,221
4258,219
4269,212
4279,217
4289,224
4299,225
4311,219
4321,220
4331,223
4341,222
4352,214
4362,215
4372,220
4383,223
4393,217
4404,220
4414,227
4424,226
4434,217
4446,217
4456,221
4466,221
4476,212
4487,216
4497,223
4508,226
4518,221
4529,220
4539,223
4549,224
4559,215
4570,214
4581,218
4591,222
4601,217
4612,219
4622,225
4632,226
4643,218
4654,216
4664,220
4674,221
4684,213
4695,213
4705,220
4716,226
4726,220
4737,218
4747,222
4757,224
4767,215
4779,213
4789,217
4799,220
4809,216
4819,216
4830,222
4840,226
4851,218
4861,215
4872,218
4882,221
4892,214
4902,210
4914,217
4924,224
4934,219
4944,217
4955,220
4965,223
4976,216
4986,212
4997,215
5007,219
5017,215
5027,214
5038,220
5049,227
5059,219
5069,214
5080,217
5090,221
5100,215
5111,210
5122,216
5132,223
5142,220
5152,218
5163,220
5173,224
5184,218
5194,213
5204,215
5215,220
5225,217
5235,214
5246,220
5257,226
5267,223
5277,216
5287,218
5298,222
5309,218
5319,212
5329,215
5340,223
5350,222
5360,218
5370,221
5382,225
5392,222
5402,215
5412,216
5423,221
5433,218
5444,215
5454,219
5465,226
5475,227
5485,218
5495,219
5507,223
5517,221
5527,213
5537,213
5548,222
5558,223
5568,218
5579,222
5590,225
5600,224
5610,216
5620,216
5630,220
5642,219
5652,214
5662,217
5672,224
5683,226
5693,219
5703,218
5714,222
